SR-ID,Title,SN-Refs,Requirement,Rationale,AcceptanceCriteria,Permutations,Priority,Verification,Status,Phase
SR-011,Deterministic rehash scheduling,SN-007,"The system shall decide whether to re-hash an unchanged file from HashRecalcFreq codes A/E/D/W/M/Y/N via Test-HashRecalcDue, deterministically for a given reference time, persisting the last hash-run time in FileBackupState.json.","Realizes SN-007; B2/B3/B4 made scheduling real and injectable via -Now.","For each code, Test-HashRecalcDue returns the documented decision for a fixed -Now and persisted last-run; A/E always recalc, N never, D/W/M/Y on boundary crossings (Unit + G6).","freq=set{A,E,D,W,M,Y,N}",S,Test,Verified,
SR-012,Storage-layout selection and migration,SN-008,"PreserveFolderTree shall select Mirror (mirrored tree) or HashAddressed (""<hashShort> <sizeShort>.<ext>"") layout, and switching an existing backup's layout/compression shall migrate data by copying and writing the new manifest before deleting old data.","Realizes SN-008; crash-safe migration order is B7.","Toggling the mode re-lays-out an existing backup with no data loss; an interruption mid-migration cannot lose data because the new manifest/copies precede deletes.","mode=set{Mirror,HashAddressed}; compress=set{on,off}",S,Test,Verified,
SR-013,StoredAsHashSize reflects layout,SN-008,"The manifest StoredAsHashSize column shall reflect the active storage layout and flip when a backup is migrated between layouts.","Realizes SN-008; lets restore know how data files are named.","After a Mirror->HashAddressed migration, StoredAsHashSize flips for affected rows and restore still resolves every file.","mode=set{Mirror,HashAddressed}",S,Test,Verified,
SR-014,Independent multi-set processing,SN-009;SN-011,"The system shall process each BackupSet independently such that one set's failure does not abort the others, and the overall exit code shall be non-zero if any set failed.","Realizes SN-009 and SN-011; a multi-set scheduled job must be resilient and honest about partial failure.","Given multiple sets where one fails, the others still complete and the process exits non-zero.",,S,Test,Verified,
SR-015,Optional non-fatal mail,SN-010;SN-020,"The system shall send a success/failure email only when SMTP is fully configured and -NoMail is not set, and shall treat any mail failure as a logged warning that never changes the backup's success status.","Realizes SN-010/SN-020 (B15); mail is never load-bearing.","With SMTP omitted or -NoMail, no mail is sent and the run proceeds; a send failure is logged WARN and does not flip exit code.",,C,Demonstration,Demonstration,
SR-016,Non-interactive automation safety,SN-011,"The system shall provide a -NonInteractive path that never blocks on a prompt during a scheduled run and fails loudly with a non-zero exit on error.","Realizes SN-011; a hanging scheduled task is a silent backup failure.","Under -NonInteractive, dependency resolution returns/raises without any Read-Host; a missing optional tool degrades to absent and a fatal condition yields a non-zero exit.",,M,Test,Verified,
SR-017,Stale staging guard,SN-013,"The system shall abort a run with a clear error when a leftover Temp staging folder exists under ChangePath, rather than proceeding.","Realizes SN-013; a stale Temp means a prior run died mid-flight.","With a pre-existing Temp folder under ChangePath, the run aborts with a message naming the stale folder and writes no change folder.",,M,Test,Verified,
SR-018,Missing config fails clearly,SN-014,"The system shall throw a clear error and exit non-zero when the configured config file does not exist, performing no destructive action.","Realizes SN-014.","Invoking with a non-existent ConfigPath throws ""config not found"" and exits non-zero; nothing is written to any target.",,M,Test,Verified,
SR-019,Required-dependency enforcement,SN-015,"The system shall ensure System.IO.Hashing.XxHash128 is available (preferring a bundled DLL) before hashing and shall fail with remediation guidance on an unsupported runtime or missing library.","Realizes SN-015; hashing must never silently run against a wrong/absent library (AGENTS.md sec.4, history).","On a session lacking the library, Initialize-XxHashLibrary loads the bundled DLL or fails with guidance (non-interactive path throws with remediation); PowerShell <7 is flagged.",,M,Inspection,Inspection,
SR-020,External-tool enforcement and degradation,SN-016,"The system shall fail before backup processing when compression is selected but 7-Zip cannot be resolved, and shall skip optional media metrics when ffprobe is absent.","Realizes SN-016; the manifest must never claim raw bytes are compressed.","Without 7-Zip, a compression-enabled run exits non-zero before processing any set; without ffprobe, MediaMBPerSec is left blank.","compress=set{on,off}",S,Test,Verified,
SR-021,Literal path safety,SN-017,"All file operations shall use -LiteralPath / [System.IO.Path] APIs so Unicode, bracketed, and parenthesized names are handled correctly and never wildcard-expanded.","Realizes SN-017; Split-Path -LiteralPath -Parent/-Leaf throws on PS7 (AGENTS.md sec.4).","A source tree containing Unicode and [bracketed]/(paren) names backs up and restores with names intact.","tree=set{unicode,bracketed}",M,Test,Verified,
SR-022,Root-only infrastructure filtering,SN-018,"The system shall classify infrastructure files (MANIFEST.csv, RECONSTRUCT.*, kit files) only at the backup root via Test-IsInfrastructureFile and shall treat identically-named nested user files as real data.","Realizes SN-018 (regression B6).","A nested user file named MANIFEST.csv is backed up and restored as data; root-level kit files are excluded from the source manifest (Unit + G1).",,M,Test,Verified,
SR-023,Restore capacity check,SN-019,"Reconstruct shall verify sufficient free space at the restore target — accounting for the decompressed size of compressed rows — and surface an insufficient-capacity condition before producing a partial tree.","Realizes SN-019 (B10/B11).","A target without room is rejected with a capacity error; the check uses decompressed sizes for .7z rows.","compress=set{on,off}",S,Test,Verified,
SR-024,Idempotent deterministic re-run,SN-021,"An identical re-run with no source changes shall produce identical manifest rows and no spurious change content, verified by a deterministic spot check.","Realizes SN-021; protects against churn and proves determinism (G7).","Two consecutive no-change runs yield byte-identical manifest rows and an empty/no-op change set; a SHA-256 spot check matches.","mode=set{Mirror,HashAddressed}",S,Test,Verified,
SR-025,Manifest schema round-trip,SN-005;SN-001,"The 9-column manifest (DataPath, RelativePath, Length, LastWriteTimeStr, xxH2Hash, Compressed, StoredAsHashSize, Duplicate, MediaMBPerSec) shall be read/written only via Read-Manifest/Write-Manifest, preserving typed Length and LastWriteTime and tolerating null/empty record sets.","Realizes SN-005/SN-001; the manifest is the contract restore relies on (AGENTS.md sec.3 invariant).","Write-then-read round-trips rows with typed Length/LastWriteTime; a null/empty set is tolerated; a missing manifest reads as @() (Unit).",,M,Test,Verified,
SR-026,Cross-change duplicate collapse,SN-002;SN-004,"After a run the system shall collapse duplicate data shared across change folders (Optimize-ChangeFolders) so prior-version history does not store the same bytes repeatedly.","Realizes SN-002 within SN-004 history; keeps change history space-efficient.","Identical prior-version content across change folders is stored once and still restorable from each referencing change folder.","mode=set{Mirror,HashAddressed}",C,Test,Verified,
SR-028,Dated-snapshot storage and clean cutover,SN-004;SN-005,"The system shall store per snapshot the full point-in-time manifest plus only the bytes superseded at the next run, resolving all other bytes by hash from the live backup or sibling snapshots, and new code shall read and write only the dated-snapshot format (no Pre_*_Changes dual-format handling).","Realizes SN-004 with dedup preserved (the manifest carries xxH2Hash); the clean cutover keeps the restore path simple. Pre-existing Pre_* backups still restore via their own bundled kit.","A snapshot folder physically stores only superseded data files; unchanged files restore by hash from the pool; the engine and Reconstruct.ps1 contain no Pre_*_Changes naming or reading logic.","mode=set{Mirror,HashAddressed}; compress=set{on,off}",M,Test,Verified,
SR-027,First-run setup and discoverable docs,SN-012,"The system shall ship a config builder (CredSetEx.ps1) and README quick-start such that a new user can create a valid config and run a first backup, with required dependencies installed on first use.","Realizes SN-012; onboarding must not require reverse-engineering the config schema.","Following the README quick-start with CredSetEx.ps1 yields a working config and a successful first backup; System.IO.Hashing is auto-installed on first run.",,S,Demonstration,Demonstration,
SR-029,Restore fails loudly on unrecoverable content,SN-013,"Reconstruct.ps1 shall restore every recoverable manifest row, log each row it cannot restore (missing data file, failed hash recovery, failed extraction), and terminate with an error (non-zero exit for a scripted caller) stating the count of unrestored files; a fully successful restore shall exit zero.","A silent partial restore defeats the backup's purpose; scheduled/scripted restores check only the exit code (2026-07-02 adversarial-review finding).","Deleting a restored row's only data source then restoring yields: every other row restored byte-exact, a log line per failure, and a terminating error naming the unrestored count; an untampered restore completes cleanly with exit 0.","cause=set{missing-datapath,hash-unrecoverable}",M,Test,Verified,
SR-030,Cross-implementation hash conformance,SN-022,"The bash implementation shall compute file content hashes whose output is byte-for-byte identical to Get-FileXxHash: canonical XXH128 (XXH3-128) rendered as a 32-char uppercase big-endian hex string, verified against shared golden fixtures.","The (xxH2Hash,Length) key is the identity for dedup, change detection, and hash recovery; any digest mismatch silently breaks cross-implementation restore (2026-07-03 scope change).","For each golden fixture file (empty, 1-byte, text, binary >1 MiB, unicode name), the bash hasher's output equals the committed Get-FileXxHash value exactly.","fixture=set{empty,one-byte,text,binary-1MiB,unicode-name}",M,Test,Verified,bash-v1
SR-031,Standalone bash restore,SN-022,"reconstruct.sh shall rebuild a source tree byte-for-byte on Linux using only the backup folder's contents plus commodity tools (bash, GNU coreutils/awk, xxhsum, 7z when compressed), honoring the same semantics as the PowerShell restorer: backup-root restores the latest state, a Snapshot_<date> folder restores that point in time from its own manifest (no newer-manifest overlay), blank/missing DataPath rows recover by (xxH2Hash,Length) from the data pool (backup root + all snapshots), .7z rows are decompressed, the restore refuses a target inside the backup, checks capacity, and fails loudly (non-zero exit naming the unrestored count) when any row cannot be restored.","Restore-anywhere is the backup's core promise (SN-005/SN-022); Linux is the natural restore host for a NAS or rescue environment (2026-07-03 scope change).","A backup produced by the PowerShell engine (each storage mode, ±compression) copied to a Linux machine restores byte-exact via reconstruct.sh from the backup root and from each snapshot; a tampered backup exits non-zero naming the unrestored files.","mode=set{Mirror,HashAddressed}; compress=set{on,off}; origin=set{backup-root,snapshot}",M,Test,Verified,bash-v1
SR-032,Manifest portability across platforms,SN-022,"The bash implementation shall interpret manifests exactly as written by the Windows engine: RelativePath backslash separators mapped to '/', LastWriteTimeStr parsed as ISO 8601 round-trip ('O') culture-invariantly, CSV fields per RFC 4180 (quoted fields may contain commas/quotes), and UTF-8 content (including BOM tolerance and unicode/bracket/space filenames).","The manifest is the cross-platform contract; a parsing divergence corrupts restores silently (2026-07-03 scope change).","Golden manifests written by Write-Manifest (incl. unicode, bracketed, comma-containing names) parse to identical field values on Linux; separator mapping round-trips every RelativePath.","field=set{plain,comma,quote,unicode,bracket,space}",M,Test,Verified,bash-v1
SR-033,Bash backup engine parity,SN-023,"The bash backup engine shall produce backups conforming to the same on-disk contract as the PowerShell engine — 9-column MANIFEST.csv, (xxH2Hash,Length) dedup with one physical data file per key, content-addressed short names per the shared alphabet when HashAddressed, extension-gated .7z compression, dated Snapshot_<date> supersession per SR-005, refcount-aware eviction — such that either implementation can restore what the other produced.","Full parity lets Linux hosts run scheduled backups against the same targets (SN-023); interop is the anti-duplication guarantee that the contract, not the code, is the single source of truth.","A backup produced by backup.sh restores byte-exact via RECONSTRUCT.ps1 on Windows and reconstruct.sh on Linux, and vice versa; snapshot/dedup/no-op semantics match the SR-005/SR-028 acceptance criteria.","mode=set{Mirror,HashAddressed}; compress=set{on,off}",S,Test,Draft,bash-v2
SR-034,Container build and distribution,SN-024,"The repository shall provide a non-root Linux container, a portable JSON configuration contract with a writable source-state path distinct from the read-only source, and one command that builds and smoke-tests a compressed backup plus byte-exact restore; the same image shall be exportable as an offline tar or publishable/pullable by fully-qualified OCI registry reference.","Lets HomeHub consume the existing engine without a host PowerShell dependency while preserving an offline installation path and keeping registry choice optional.","On a Docker-capable Linux runner, Invoke-Container.ps1 -Action BuildAndTest builds the pinned image, reads a read-only source while storing its hash cache on the state mount, creates a compressed backup with the complete recovery kit, restores it in a second container, and byte-compares every source file; Export produces a docker-loadable tar and Publish/Pull use an explicit registry image reference.","distribution=set{local,tar,registry}; restore=compressed",M,Test,Implemented,container-v1
SR-035,Run-state integrity gate,SN-013,"When an existing backup's MANIFEST.csv contains rows but its FileBackupState.json is missing or unparseable, the system shall refuse to mutate that backup and exit non-zero rather than treating the run as a first backup.","A null prior-backup date routed the run down the first-backup path, which deletes the staged superseded history (HomeHub cross-check finding F, fixed 2026-08-12).","With manifest rows present and the state file removed or corrupted between two runs, the second run exits non-zero, changes neither backup bytes nor MANIFEST.csv, and creates no snapshot.","state=set{missing,malformed}",M,Test,Verified,
SR-036,Empty-source delete-all refusal,SN-009;SN-013,"When a previously populated source enumerates zero files, the system shall refuse the run before any backup mutation unless the set explicitly opts in with AllowEmptySource=true; an initially empty source remains valid.","An unavailable or mis-mounted source otherwise reads as delete-everything and empties the live backup (HomeHub cross-check finding G, fixed 2026-08-12; mirrors HomeHub's INGEST_ALLOW_EMPTY).","With prior manifest rows and an empty source, the run exits non-zero leaving backup bytes and manifest untouched; with AllowEmptySource=true the intentional delete-all proceeds and snapshots the prior state.","override=set{default,allow}",M,Test,Verified,
SR-037,Cross-platform tool discovery,SN-016;SN-024,"No tool location shall be constructed from Windows-only environment at module scope; 7-Zip shall resolve from the set's Tools.SevenZipPath configuration or the FILEBACKUP_7ZIP_PATH environment override so the modules import and run on non-Windows hosts.","Join-Path $env:ProgramFiles at module scope threw at Import-Module time on Linux, so the tool could not start at all (HomeHub cross-check finding 0, fixed 2026-08-12).","Importing FileBackup.Common on a host without $env:ProgramFiles succeeds; a compression-enabled run resolves 7-Zip from Tools.SevenZipPath or FILEBACKUP_7ZIP_PATH and the missing-tool error names both knobs.",,M,Inspection,Inspection,
SR-038,Manifest witness sidecar,SN-025;SN-018,"Every MANIFEST.csv the system writes shall be accompanied by a witness sidecar MANIFEST.csv.meta in the same folder, written after the manifest and published by atomic rename, carrying a format version, the manifest's data-row count, its byte length, and the xxHash128 of its bytes exactly as written; the sidecar shall be produced by the single Write-Manifest code path (so backup root, staging, dated snapshots, the source hash cache, and every manifest rewrite are covered), and shall be classified as root-level infrastructure per SR-022 — an identically named nested user file remains data (B6).","A restore can only verify the rows its manifest still contains, so a truncated or replaced manifest shrinks the job and still reports success (HomeHub cross-check finding E); a dedup-aware physical file census cannot close this. One writer, one witness, so it cannot drift.","After any run, every folder holding a MANIFEST.csv also holds a MANIFEST.csv.meta whose Rows equals the manifest's data-row count, Bytes its file length, and XxH128 the Get-FileXxHash of its bytes; a dated snapshot carries its OWN witness (not the backup root's); a root-level MANIFEST.csv.meta produces no orphan/not-in-DB warning while a nested sub\MANIFEST.csv.meta is backed up and restored as data.","origin=set{backup-root,snapshot,staging,source-state}; mode=set{Mirror,HashAddressed}",M,Test,Verified,
SR-039,Restore verifies the manifest witness,SN-025;SN-005;SN-022,"Before restoring any file, Reconstruct.ps1 and bash/reconstruct.sh shall validate the restore origin's manifest: the CSV header shall carry the schema's key columns, and when a MANIFEST.csv.meta is present the manifest's byte length, data-row count, and xxHash128 shall match it — a mismatch, or an unparseable sidecar, shall abort with the witness exit code before any file is written. A missing sidecar (a backup written before this contract) shall log an explicit unverified-index warning and continue, unless the caller opts into strict mode (-RequireWitness / --require-witness), which makes absence an abort. An unrecognized sidecar format version shall verify only the fields it understands and warn.","Realizes SN-025 and subsumes the 2026-07-03 reviewer MINOR (a corrupt non-CSV MANIFEST.csv restored nothing yet exited 0 in Reconstruct.ps1): a garbage manifest fails the digest, and a legacy garbage manifest fails the header check. Refusing legacy backups outright would strand every backup written before this change.","A backup whose MANIFEST.csv is truncated, byte-edited, or replaced by unrelated text aborts both restorers with the documented witness exit code, writing no file into the target; re-stamping the witness makes the same manifest restore cleanly; an origin with no sidecar restores byte-exact and logs 'unverified'; the same origin under strict mode aborts.","damage=set{truncated,byte-edited,replaced-garbage,intact,absent-sidecar}; restorer=set{powershell,bash}",M,Test,Verified,
SR-040,Shared restore exit-code contract,SN-026;SN-013;SN-011,"Both restorers shall report outcome through one documented exit-code table — 0 complete; 1 incomplete because content is unrecoverable; 2 usage or precondition failure (bad arguments, missing or unrecognizable manifest, target inside the backup, missing required tool, insufficient capacity); 3 manifest-witness verification failure; 4 incomplete because of the host (an unreadable or absent search folder, 7-Zip unavailable for an archive candidate, an extraction or copy I/O error) — applying the precedence 2 > 3 > 4 > 1. Hash recovery shall report its failure cause distinctly (content not found, dependency unavailable, storage unreadable, candidate error) rather than one warning for all four, and the terminating summary shall name the count per class. Reconstruct.ps1 shall keep its terminating-error behavior for in-process callers and additionally exit with the table's code when invoked as a process entry point (RECONSTRUCT.bat).","Realizes SN-026 and IF-001's promise of a translatable exit status: today Find-DataFileByHash collapses four causes into one warning and Reconstruct.ps1 throws one generic failure for every cause (HomeHub cross-check finding D). Adopting bash/reconstruct.sh's existing 0/1/2 scheme avoids a competing numbering. Prerequisite for IF-001 leaving Experimental.","cause=set{clean,content-missing,precondition,witness-mismatch,host-dependency}; restorer=set{powershell,bash}",M,Test,Verified,
SR-041,Backup-side failure aggregation,SN-013;SN-004,"Move-RemovedFilesToStaging and Save-SupersededData shall not abort the run on the first failed move: each failure shall be caught, logged as an ERROR naming the file and cause, and recorded, the loop shall continue with the remaining entries, and the run shall report overall failure (non-zero exit) with a summary count — mirroring Invoke-BackupFileGroup's existing per-entry handling and the restore side's unrestored aggregation.","One failed move currently escapes Invoke-BackupSet, hiding every other failure, skipping snapshot finalization, and leaving the Temp staging folder behind so the NEXT run aborts on the SR-017 stale-staging guard (HomeHub cross-check finding J).","With two data files made unmovable during one run, the log records an ERROR per failure plus a summary count, every movable entry is still staged, the snapshot is still finalized, the run exits non-zero, no Temp staging folder survives, and the next run proceeds normally.","loop=set{removed-eviction,superseded-preservation}; failures=set{1,2}",S,Test,Verified,
